pid,n_sessions,n_transitions,first_session_id,last_session_id,first_state,last_state,state_sequence,session_id_sequence,has_minimal_state,has_purchase_anomaly,update_window_sessions
p1822,1,0,p1822_s0001,p1822_s0001,0,0,0,p1822_s0001,False,False,1
p1823,38,37,p1823_s0001,p1823_s0038,0,3,0 1 1 2 1 1 1 1 1 1 2 1 2 1 2 1 1 1 2 2 2 2 1 2 1 2 3 2 2 2 1 1 2 2 1 2 3 3,p1823_s0001 p1823_s0002 p1823_s0003 p1823_s0004 p1823_s0005 p1823_s0006 p1823_s0007 p1823_s0008 p1823_s0009 p1823_s0010 p1823_s0011 p1823_s0012 p1823_s0013 p1823_s0014 p1823_s0015 p1823_s0016 p1823_s0017 p1823_s0018 p1823_s0019 p1823_s0020 p1823_s0021 p1823_s0022 p1823_s0023 p1823_s0024 p1823_s0025 p1823_s0026 p1823_s0027 p1823_s0028 p1823_s0029 p1823_s0030 p1823_s0031 p1823_s0032 p1823_s0033 p1823_s0034 p1823_s0035 p1823_s0036 p1823_s0037 p1823_s0038,False,False,0
p1824,1,0,p1824_s0001,p1824_s0001,0,0,0,p1824_s0001,False,False,0
p1825,1,0,p1825_s0001,p1825_s0001,2,2,2,p1825_s0001,False,False,1
p1826,6,5,p1826_s0001,p1826_s0006,0,4,0 1 1 1 1 4,p1826_s0001 p1826_s0002 p1826_s0003 p1826_s0004 p1826_s0005 p1826_s0006,True,False,1
p1827,2,1,p1827_s0001,p1827_s0002,0,1,0 1,p1827_s0001 p1827_s0002,False,False,0
p1828,1,0,p1828_s0001,p1828_s0001,4,4,4,p1828_s0001,True,False,0
p1829,4,3,p1829_s0001,p1829_s0004,0,2,0 2 2 2,p1829_s0001 p1829_s0002 p1829_s0003 p1829_s0004,False,False,0
p183,1,0,p183_s0001,p183_s0001,4,4,4,p183_s0001,True,False,0
p1830,4,3,p1830_s0001,p1830_s0004,3,3,3 1 2 3,p1830_s0001 p1830_s0002 p1830_s0003 p1830_s0004,False,False,0
p1831,62,61,p1831_s0001,p1831_s0062,0,1,0 2 1 1 1 3 1 2 3 2 1 1 2 1 2 1 2 1 2 1 2 1 1 1 1 1 3 3 3 1 3 1 1 1 3 3 1 3 3 3 1 1 1 1 1 1 2 1 1 2 1 1 2 2 2 1 2 1 2 2 2 1,p1831_s0001 p1831_s0002 p1831_s0003 p1831_s0004 p1831_s0005 p1831_s0006 p1831_s0007 p1831_s0008 p1831_s0009 p1831_s0010 p1831_s0011 p1831_s0012 p1831_s0013 p1831_s0014 p1831_s0015 p1831_s0016 p1831_s0017 p1831_s0018 p1831_s0019 p1831_s0020 p1831_s0021 p1831_s0022 p1831_s0023 p1831_s0024 p1831_s0025 p1831_s0026 p1831_s0027 p1831_s0028 p1831_s0029 p1831_s0030 p1831_s0031 p1831_s0032 p1831_s0033 p1831_s0034 p1831_s0035 p1831_s0036 p1831_s0037 p1831_s0038 p1831_s0039 p1831_s0040 p1831_s0041 p1831_s0042 p1831_s0043 p1831_s0044 p1831_s0045 p1831_s0046 p1831_s0047 p1831_s0048 p1831_s0049 p1831_s0050 p1831_s0051 p1831_s0052 p1831_s0053 p1831_s0054 p1831_s0055 p1831_s0056 p1831_s0057 p1831_s0058 p1831_s0059 p1831_s0060 p1831_s0061 p1831_s0062,False,False,3
p1832,1,0,p1832_s0001,p1832_s0001,2,2,2,p1832_s0001,False,False,0
p1833,1,0,p1833_s0001,p1833_s0001,0,0,0,p1833_s0001,False,False,0
p1834,1,0,p1834_s0001,p1834_s0001,0,0,0,p1834_s0001,False,False,1
p1835,1,0,p1835_s0001,p1835_s0001,0,0,0,p1835_s0001,False,False,0
p1836,1,0,p1836_s0001,p1836_s0001,0,0,0,p1836_s0001,False,False,0
p1837,14,13,p1837_s0001,p1837_s0014,0,4,0 1 1 1 2 3 1 1 4 2 1 1 1 4,p1837_s0001 p1837_s0002 p1837_s0003 p1837_s0004 p1837_s0005 p1837_s0006 p1837_s0007 p1837_s0008 p1837_s0009 p1837_s0010 p1837_s0011 p1837_s0012 p1837_s0013 p1837_s0014,True,False,0
p1838,1,0,p1838_s0001,p1838_s0001,4,4,4,p1838_s0001,True,False,0
p1839,1,0,p1839_s0001,p1839_s0001,0,0,0,p1839_s0001,False,False,0
p184,20,19,p184_s0001,p184_s0020,0,4,0 1 1 1 1 1 1 1 1 1 1 2 3 2 1 3 1 1 1 4,p184_s0001 p184_s0002 p184_s0003 p184_s0004 p184_s0005 p184_s0006 p184_s0007 p184_s0008 p184_s0009 p184_s0010 p184_s0011 p184_s0012 p184_s0013 p184_s0014 p184_s0015 p184_s0016 p184_s0017 p184_s0018 p184_s0019 p184_s0020,True,False,0
p1840,1,0,p1840_s0001,p1840_s0001,2,2,2,p1840_s0001,False,False,0
p1841,1,0,p1841_s0001,p1841_s0001,0,0,0,p1841_s0001,False,False,1
p1842,7,6,p1842_s0001,p1842_s0007,0,1,0 2 2 2 1 1 1,p1842_s0001 p1842_s0002 p1842_s0003 p1842_s0004 p1842_s0005 p1842_s0006 p1842_s0007,False,False,0
p1843,17,16,p1843_s0001,p1843_s0017,0,3,0 1 4 2 2 2 1 2 2 1 2 1 1 2 4 2 3,p1843_s0001 p1843_s0002 p1843_s0003 p1843_s0004 p1843_s0005 p1843_s0006 p1843_s0007 p1843_s0008 p1843_s0009 p1843_s0010 p1843_s0011 p1843_s0012 p1843_s0013 p1843_s0014 p1843_s0015 p1843_s0016 p1843_s0017,True,False,0
p1844,13,12,p1844_s0001,p1844_s0013,0,1,0 1 1 1 1 1 1 1 1 2 2 1 1,p1844_s0001 p1844_s0002 p1844_s0003 p1844_s0004 p1844_s0005 p1844_s0006 p1844_s0007 p1844_s0008 p1844_s0009 p1844_s0010 p1844_s0011 p1844_s0012 p1844_s0013,False,False,0
p1845,20,19,p1845_s0001,p1845_s0020,0,4,0 2 2 2 1 1 2 1 1 1 1 1 1 2 2 1 1 1 2 4,p1845_s0001 p1845_s0002 p1845_s0003 p1845_s0004 p1845_s0005 p1845_s0006 p1845_s0007 p1845_s0008 p1845_s0009 p1845_s0010 p1845_s0011 p1845_s0012 p1845_s0013 p1845_s0014 p1845_s0015 p1845_s0016 p1845_s0017 p1845_s0018 p1845_s0019 p1845_s0020,True,False,1
p1846,8,7,p1846_s0001,p1846_s0008,0,2,0 1 1 1 1 0 3 2,p1846_s0001 p1846_s0002 p1846_s0003 p1846_s0004 p1846_s0005 p1846_s0006 p1846_s0007 p1846_s0008,False,False,0
p1847,10,9,p1847_s0001,p1847_s0010,0,1,0 1 1 1 1 1 1 1 1 1,p1847_s0001 p1847_s0002 p1847_s0003 p1847_s0004 p1847_s0005 p1847_s0006 p1847_s0007 p1847_s0008 p1847_s0009 p1847_s0010,False,False,0
p1848,5,4,p1848_s0001,p1848_s0005,0,4,0 1 1 1 4,p1848_s0001 p1848_s0002 p1848_s0003 p1848_s0004 p1848_s0005,True,False,0
p1849,1,0,p1849_s0001,p1849_s0001,0,0,0,p1849_s0001,False,False,0
p185,1,0,p185_s0001,p185_s0001,2,2,2,p185_s0001,False,False,0
p1850,1,0,p1850_s0001,p1850_s0001,0,0,0,p1850_s0001,False,False,1
p1851,2,1,p1851_s0001,p1851_s0002,0,1,0 1,p1851_s0001 p1851_s0002,False,False,0
p1852,2,1,p1852_s0001,p1852_s0002,0,2,0 2,p1852_s0001 p1852_s0002,False,False,0
p1853,1,0,p1853_s0001,p1853_s0001,4,4,4,p1853_s0001,True,False,1
p1854,6,5,p1854_s0001,p1854_s0006,0,2,0 1 1 2 2 2,p1854_s0001 p1854_s0002 p1854_s0003 p1854_s0004 p1854_s0005 p1854_s0006,False,False,0
p1855,3,2,p1855_s0001,p1855_s0003,0,1,0 2 1,p1855_s0001 p1855_s0002 p1855_s0003,False,False,0
p1856,13,12,p1856_s0001,p1856_s0013,0,1,0 1 1 1 1 1 1 1 2 1 1 1 1,p1856_s0001 p1856_s0002 p1856_s0003 p1856_s0004 p1856_s0005 p1856_s0006 p1856_s0007 p1856_s0008 p1856_s0009 p1856_s0010 p1856_s0011 p1856_s0012 p1856_s0013,False,False,0
p1857,47,46,p1857_s0001,p1857_s0047,0,1,0 2 1 1 1 1 1 1 1 2 2 2 1 1 1 1 2 1 2 2 2 1 1 2 1 1 1 2 1 1 1 2 1 2 2 1 1 1 1 1 1 2 2 2 3 4 1,p1857_s0001 p1857_s0002 p1857_s0003 p1857_s0004 p1857_s0005 p1857_s0006 p1857_s0007 p1857_s0008 p1857_s0009 p1857_s0010 p1857_s0011 p1857_s0012 p1857_s0013 p1857_s0014 p1857_s0015 p1857_s0016 p1857_s0017 p1857_s0018 p1857_s0019 p1857_s0020 p1857_s0021 p1857_s0022 p1857_s0023 p1857_s0024 p1857_s0025 p1857_s0026 p1857_s0027 p1857_s0028 p1857_s0029 p1857_s0030 p1857_s0031 p1857_s0032 p1857_s0033 p1857_s0034 p1857_s0035 p1857_s0036 p1857_s0037 p1857_s0038 p1857_s0039 p1857_s0040 p1857_s0041 p1857_s0042 p1857_s0043 p1857_s0044 p1857_s0045 p1857_s0046 p1857_s0047,True,False,7
p1858,69,68,p1858_s0001,p1858_s0069,0,4,0 2 1 2 1 1 1 3 3 2 3 1 2 2 2 2 1 1 1 1 1 1 1 1 2 2 1 1 1 2 3 1 2 1 2 1 3 2 2 2 2 2 2 2 3 1 2 2 2 1 1 2 2 2 3 1 1 1 1 2 1 1 2 1 1 1 1 1 4,p1858_s0001 p1858_s0002 p1858_s0003 p1858_s0004 p1858_s0005 p1858_s0006 p1858_s0007 p1858_s0008 p1858_s0009 p1858_s0010 p1858_s0011 p1858_s0012 p1858_s0013 p1858_s0014 p1858_s0015 p1858_s0016 p1858_s0017 p1858_s0018 p1858_s0019 p1858_s0020 p1858_s0021 p1858_s0022 p1858_s0023 p1858_s0024 p1858_s0025 p1858_s0026 p1858_s0027 p1858_s0028 p1858_s0029 p1858_s0030 p1858_s0031 p1858_s0032 p1858_s0033 p1858_s0034 p1858_s0035 p1858_s0036 p1858_s0037 p1858_s0038 p1858_s0039 p1858_s0040 p1858_s0041 p1858_s0042 p1858_s0043 p1858_s0044 p1858_s0045 p1858_s0046 p1858_s0047 p1858_s0048 p1858_s0049 p1858_s0050 p1858_s0051 p1858_s0052 p1858_s0053 p1858_s0054 p1858_s0055 p1858_s0056 p1858_s0057 p1858_s0058 p1858_s0059 p1858_s0060 p1858_s0061 p1858_s0062 p1858_s0063 p1858_s0064 p1858_s0065 p1858_s0066 p1858_s0067 p1858_s0068 p1858_s0069,True,False,1
p1859,3,2,p1859_s0001,p1859_s0003,0,2,0 1 2,p1859_s0001 p1859_s0002 p1859_s0003,False,False,0
p186,3,2,p186_s0001,p186_s0003,0,2,0 3 2,p186_s0001 p186_s0002 p186_s0003,False,False,0
p1860,17,16,p1860_s0001,p1860_s0017,0,4,0 3 3 1 1 1 1 1 1 1 1 1 1 1 1 1 4,p1860_s0001 p1860_s0002 p1860_s0003 p1860_s0004 p1860_s0005 p1860_s0006 p1860_s0007 p1860_s0008 p1860_s0009 p1860_s0010 p1860_s0011 p1860_s0012 p1860_s0013 p1860_s0014 p1860_s0015 p1860_s0016 p1860_s0017,True,False,0
p1861,88,87,p1861_s0001,p1861_s0088,0,4,0 2 1 3 2 4 1 1 2 2 1 2 2 2 2 2 1 2 2 2 1 2 2 2 2 2 1 2 1 2 2 3 2 1 2 2 1 3 2 2 3 2 2 2 1 2 1 2 2 2 1 2 1 2 2 3 2 2 2 2 2 3 2 3 1 2 2 3 1 2 1 1 2 2 2 1 1 2 4 2 4 2 2 2 2 4 4 4,p1861_s0001 p1861_s0002 p1861_s0003 p1861_s0004 p1861_s0005 p1861_s0006 p1861_s0007 p1861_s0008 p1861_s0009 p1861_s0010 p1861_s0011 p1861_s0012 p1861_s0013 p1861_s0014 p1861_s0015 p1861_s0016 p1861_s0017 p1861_s0018 p1861_s0019 p1861_s0020 p1861_s0021 p1861_s0022 p1861_s0023 p1861_s0024 p1861_s0025 p1861_s0026 p1861_s0027 p1861_s0028 p1861_s0029 p1861_s0030 p1861_s0031 p1861_s0032 p1861_s0033 p1861_s0034 p1861_s0035 p1861_s0036 p1861_s0037 p1861_s0038 p1861_s0039 p1861_s0040 p1861_s0041 p1861_s0042 p1861_s0043 p1861_s0044 p1861_s0045 p1861_s0046 p1861_s0047 p1861_s0048 p1861_s0049 p1861_s0050 p1861_s0051 p1861_s0052 p1861_s0053 p1861_s0054 p1861_s0055 p1861_s0056 p1861_s0057 p1861_s0058 p1861_s0059 p1861_s0060 p1861_s0061 p1861_s0062 p1861_s0063 p1861_s0064 p1861_s0065 p1861_s0066 p1861_s0067 p1861_s0068 p1861_s0069 p1861_s0070 p1861_s0071 p1861_s0072 p1861_s0073 p1861_s0074 p1861_s0075 p1861_s0076 p1861_s0077 p1861_s0078 p1861_s0079 p1861_s0080 p1861_s0081 p1861_s0082 p1861_s0083 p1861_s0084 p1861_s0085 p1861_s0086 p1861_s0087 p1861_s0088,True,False,3
p1862,3,2,p1862_s0001,p1862_s0003,0,2,0 1 2,p1862_s0001 p1862_s0002 p1862_s0003,False,False,1
p1863,4,3,p1863_s0001,p1863_s0004,0,3,0 1 1 3,p1863_s0001 p1863_s0002 p1863_s0003 p1863_s0004,False,False,4
p1864,6,5,p1864_s0001,p1864_s0006,0,1,0 1 1 1 1 1,p1864_s0001 p1864_s0002 p1864_s0003 p1864_s0004 p1864_s0005 p1864_s0006,False,False,1
p1865,6,5,p1865_s0001,p1865_s0006,3,1,3 1 1 1 1 1,p1865_s0001 p1865_s0002 p1865_s0003 p1865_s0004 p1865_s0005 p1865_s0006,False,False,0
p1866,30,29,p1866_s0001,p1866_s0030,0,1,0 2 1 1 1 1 1 1 1 2 1 1 1 1 2 2 2 1 1 1 1 2 1 1 1 2 1 3 2 1,p1866_s0001 p1866_s0002 p1866_s0003 p1866_s0004 p1866_s0005 p1866_s0006 p1866_s0007 p1866_s0008 p1866_s0009 p1866_s0010 p1866_s0011 p1866_s0012 p1866_s0013 p1866_s0014 p1866_s0015 p1866_s0016 p1866_s0017 p1866_s0018 p1866_s0019 p1866_s0020 p1866_s0021 p1866_s0022 p1866_s0023 p1866_s0024 p1866_s0025 p1866_s0026 p1866_s0027 p1866_s0028 p1866_s0029 p1866_s0030,False,False,1
p1867,44,43,p1867_s0001,p1867_s0044,3,4,3 3 2 1 2 1 1 1 1 2 1 1 1 1 2 1 2 2 1 3 1 1 2 1 1 2 1 2 2 1 2 2 2 2 2 2 2 2 4 2 2 4 4 4,p1867_s0001 p1867_s0002 p1867_s0003 p1867_s0004 p1867_s0005 p1867_s0006 p1867_s0007 p1867_s0008 p1867_s0009 p1867_s0010 p1867_s0011 p1867_s0012 p1867_s0013 p1867_s0014 p1867_s0015 p1867_s0016 p1867_s0017 p1867_s0018 p1867_s0019 p1867_s0020 p1867_s0021 p1867_s0022 p1867_s0023 p1867_s0024 p1867_s0025 p1867_s0026 p1867_s0027 p1867_s0028 p1867_s0029 p1867_s0030 p1867_s0031 p1867_s0032 p1867_s0033 p1867_s0034 p1867_s0035 p1867_s0036 p1867_s0037 p1867_s0038 p1867_s0039 p1867_s0040 p1867_s0041 p1867_s0042 p1867_s0043 p1867_s0044,True,False,3
p1868,18,17,p1868_s0001,p1868_s0018,0,4,0 1 1 2 1 2 2 2 3 2 2 2 3 1 2 4 3 4,p1868_s0001 p1868_s0002 p1868_s0003 p1868_s0004 p1868_s0005 p1868_s0006 p1868_s0007 p1868_s0008 p1868_s0009 p1868_s0010 p1868_s0011 p1868_s0012 p1868_s0013 p1868_s0014 p1868_s0015 p1868_s0016 p1868_s0017 p1868_s0018,True,False,2
p1869,38,37,p1869_s0001,p1869_s0038,0,1,0 2 1 1 2 1 1 2 1 1 4 1 2 1 2 1 2 1 2 1 1 1 1 2 1 2 2 1 2 1 1 1 1 2 2 2 2 1,p1869_s0001 p1869_s0002 p1869_s0003 p1869_s0004 p1869_s0005 p1869_s0006 p1869_s0007 p1869_s0008 p1869_s0009 p1869_s0010 p1869_s0011 p1869_s0012 p1869_s0013 p1869_s0014 p1869_s0015 p1869_s0016 p1869_s0017 p1869_s0018 p1869_s0019 p1869_s0020 p1869_s0021 p1869_s0022 p1869_s0023 p1869_s0024 p1869_s0025 p1869_s0026 p1869_s0027 p1869_s0028 p1869_s0029 p1869_s0030 p1869_s0031 p1869_s0032 p1869_s0033 p1869_s0034 p1869_s0035 p1869_s0036 p1869_s0037 p1869_s0038,True,False,6
p187,1,0,p187_s0001,p187_s0001,0,0,0,p187_s0001,False,False,0
p1870,78,77,p1870_s0001,p1870_s0078,3,2,3 2 3 1 2 2 2 3 2 2 2 2 3 2 2 1 2 2 2 2 2 2 1 2 1 2 1 1 1 1 2 2 1 1 3 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 1 4 1 2 1 2 2 2 2 2 3 2 2 2 2 2 2 1 1 2 2 2 2 1 2,p1870_s0001 p1870_s0002 p1870_s0003 p1870_s0004 p1870_s0005 p1870_s0006 p1870_s0007 p1870_s0008 p1870_s0009 p1870_s0010 p1870_s0011 p1870_s0012 p1870_s0013 p1870_s0014 p1870_s0015 p1870_s0016 p1870_s0017 p1870_s0018 p1870_s0019 p1870_s0020 p1870_s0021 p1870_s0022 p1870_s0023 p1870_s0024 p1870_s0025 p1870_s0026 p1870_s0027 p1870_s0028 p1870_s0029 p1870_s0030 p1870_s0031 p1870_s0032 p1870_s0033 p1870_s0034 p1870_s0035 p1870_s0036 p1870_s0037 p1870_s0038 p1870_s0039 p1870_s0040 p1870_s0041 p1870_s0042 p1870_s0043 p1870_s0044 p1870_s0045 p1870_s0046 p1870_s0047 p1870_s0048 p1870_s0049 p1870_s0050 p1870_s0051 p1870_s0052 p1870_s0053 p1870_s0054 p1870_s0055 p1870_s0056 p1870_s0057 p1870_s0058 p1870_s0059 p1870_s0060 p1870_s0061 p1870_s0062 p1870_s0063 p1870_s0064 p1870_s0065 p1870_s0066 p1870_s0067 p1870_s0068 p1870_s0069 p1870_s0070 p1870_s0071 p1870_s0072 p1870_s0073 p1870_s0074 p1870_s0075 p1870_s0076 p1870_s0077 p1870_s0078,True,False,0
p1871,1,0,p1871_s0001,p1871_s0001,0,0,0,p1871_s0001,False,False,0
p1872,9,8,p1872_s0001,p1872_s0009,0,4,0 1 1 4 1 2 1 1 4,p1872_s0001 p1872_s0002 p1872_s0003 p1872_s0004 p1872_s0005 p1872_s0006 p1872_s0007 p1872_s0008 p1872_s0009,True,False,0
p1873,9,8,p1873_s0001,p1873_s0009,3,1,3 3 3 2 1 1 2 2 1,p1873_s0001 p1873_s0002 p1873_s0003 p1873_s0004 p1873_s0005 p1873_s0006 p1873_s0007 p1873_s0008 p1873_s0009,False,False,0
p1874,1,0,p1874_s0001,p1874_s0001,0,0,0,p1874_s0001,False,False,0
p1875,12,11,p1875_s0001,p1875_s0012,0,1,0 2 1 1 1 1 2 1 1 2 1 1,p1875_s0001 p1875_s0002 p1875_s0003 p1875_s0004 p1875_s0005 p1875_s0006 p1875_s0007 p1875_s0008 p1875_s0009 p1875_s0010 p1875_s0011 p1875_s0012,False,False,1
p1876,3,2,p1876_s0001,p1876_s0003,0,1,0 1 1,p1876_s0001 p1876_s0002 p1876_s0003,False,False,0
p1877,1,0,p1877_s0001,p1877_s0001,4,4,4,p1877_s0001,True,False,0
p1878,2,1,p1878_s0001,p1878_s0002,0,1,0 1,p1878_s0001 p1878_s0002,False,False,0
p1879,1,0,p1879_s0001,p1879_s0001,0,0,0,p1879_s0001,False,False,0
p188,58,57,p188_s0001,p188_s0058,0,4,0 2 2 1 1 2 2 2 2 1 1 2 2 2 2 1 2 1 2 1 1 2 2 2 1 1 2 1 1 3 2 2 1 2 1 1 2 1 2 2 1 2 2 4 2 2 2 2 1 1 1 1 4 2 2 4 4 4,p188_s0001 p188_s0002 p188_s0003 p188_s0004 p188_s0005 p188_s0006 p188_s0007 p188_s0008 p188_s0009 p188_s0010 p188_s0011 p188_s0012 p188_s0013 p188_s0014 p188_s0015 p188_s0016 p188_s0017 p188_s0018 p188_s0019 p188_s0020 p188_s0021 p188_s0022 p188_s0023 p188_s0024 p188_s0025 p188_s0026 p188_s0027 p188_s0028 p188_s0029 p188_s0030 p188_s0031 p188_s0032 p188_s0033 p188_s0034 p188_s0035 p188_s0036 p188_s0037 p188_s0038 p188_s0039 p188_s0040 p188_s0041 p188_s0042 p188_s0043 p188_s0044 p188_s0045 p188_s0046 p188_s0047 p188_s0048 p188_s0049 p188_s0050 p188_s0051 p188_s0052 p188_s0053 p188_s0054 p188_s0055 p188_s0056 p188_s0057 p188_s0058,True,False,0
p1880,26,25,p1880_s0001,p1880_s0026,0,2,0 4 1 1 2 1 2 2 1 2 2 2 1 1 1 2 1 2 2 1 1 1 2 1 1 2,p1880_s0001 p1880_s0002 p1880_s0003 p1880_s0004 p1880_s0005 p1880_s0006 p1880_s0007 p1880_s0008 p1880_s0009 p1880_s0010 p1880_s0011 p1880_s0012 p1880_s0013 p1880_s0014 p1880_s0015 p1880_s0016 p1880_s0017 p1880_s0018 p1880_s0019 p1880_s0020 p1880_s0021 p1880_s0022 p1880_s0023 p1880_s0024 p1880_s0025 p1880_s0026,True,False,0
p1881,2,1,p1881_s0001,p1881_s0002,0,1,0 1,p1881_s0001 p1881_s0002,False,False,0
p1882,3,2,p1882_s0001,p1882_s0003,0,2,0 2 2,p1882_s0001 p1882_s0002 p1882_s0003,False,False,0
p1883,6,5,p1883_s0001,p1883_s0006,4,1,4 1 3 1 3 1,p1883_s0001 p1883_s0002 p1883_s0003 p1883_s0004 p1883_s0005 p1883_s0006,True,False,0
p1884,1,0,p1884_s0001,p1884_s0001,0,0,0,p1884_s0001,False,False,1
p1886,2,1,p1886_s0001,p1886_s0002,0,2,0 2,p1886_s0001 p1886_s0002,False,False,0
p1887,1,0,p1887_s0001,p1887_s0001,4,4,4,p1887_s0001,True,False,0
p1888,3,2,p1888_s0001,p1888_s0003,0,1,0 1 1,p1888_s0001 p1888_s0002 p1888_s0003,False,False,0
p189,17,16,p189_s0001,p189_s0017,3,1,3 1 1 4 1 1 1 1 4 1 2 2 2 2 2 1 1,p189_s0001 p189_s0002 p189_s0003 p189_s0004 p189_s0005 p189_s0006 p189_s0007 p189_s0008 p189_s0009 p189_s0010 p189_s0011 p189_s0012 p189_s0013 p189_s0014 p189_s0015 p189_s0016 p189_s0017,True,False,0
p1890,3,2,p1890_s0001,p1890_s0003,2,2,2 4 2,p1890_s0001 p1890_s0002 p1890_s0003,True,False,0
p1891,1,0,p1891_s0001,p1891_s0001,0,0,0,p1891_s0001,False,False,0
p1892,12,11,p1892_s0001,p1892_s0012,0,2,0 2 1 2 2 2 1 2 1 2 2 2,p1892_s0001 p1892_s0002 p1892_s0003 p1892_s0004 p1892_s0005 p1892_s0006 p1892_s0007 p1892_s0008 p1892_s0009 p1892_s0010 p1892_s0011 p1892_s0012,False,False,0
p1893,1,0,p1893_s0001,p1893_s0001,0,0,0,p1893_s0001,False,False,0
p1894,6,5,p1894_s0001,p1894_s0006,2,2,2 1 2 1 2 2,p1894_s0001 p1894_s0002 p1894_s0003 p1894_s0004 p1894_s0005 p1894_s0006,False,False,0
p1895,1,0,p1895_s0001,p1895_s0001,2,2,2,p1895_s0001,False,False,0
p1896,2,1,p1896_s0001,p1896_s0002,0,1,0 1,p1896_s0001 p1896_s0002,False,False,0
p1897,7,6,p1897_s0001,p1897_s0007,0,3,0 1 1 3 1 1 3,p1897_s0001 p1897_s0002 p1897_s0003 p1897_s0004 p1897_s0005 p1897_s0006 p1897_s0007,False,False,0
p1898,5,4,p1898_s0001,p1898_s0005,2,4,2 1 1 4 4,p1898_s0001 p1898_s0002 p1898_s0003 p1898_s0004 p1898_s0005,True,False,1
p1899,2,1,p1899_s0001,p1899_s0002,0,1,0 1,p1899_s0001 p1899_s0002,False,False,0
p19,9,8,p19_s0001,p19_s0009,0,4,0 1 2 1 1 1 1 1 4,p19_s0001 p19_s0002 p19_s0003 p19_s0004 p19_s0005 p19_s0006 p19_s0007 p19_s0008 p19_s0009,True,False,0
p190,18,17,p190_s0001,p190_s0018,0,2,0 2 1 2 1 2 1 2 1 2 1 2 1 1 2 2 1 2,p190_s0001 p190_s0002 p190_s0003 p190_s0004 p190_s0005 p190_s0006 p190_s0007 p190_s0008 p190_s0009 p190_s0010 p190_s0011 p190_s0012 p190_s0013 p190_s0014 p190_s0015 p190_s0016 p190_s0017 p190_s0018,False,False,0
p1900,6,5,p1900_s0001,p1900_s0006,0,1,0 1 1 1 1 1,p1900_s0001 p1900_s0002 p1900_s0003 p1900_s0004 p1900_s0005 p1900_s0006,False,False,0
p1901,4,3,p1901_s0001,p1901_s0004,3,2,3 4 4 2,p1901_s0001 p1901_s0002 p1901_s0003 p1901_s0004,True,False,0
p1902,2,1,p1902_s0001,p1902_s0002,0,1,0 1,p1902_s0001 p1902_s0002,False,False,0
p1903,39,38,p1903_s0001,p1903_s0039,0,2,0 1 1 1 1 1 1 1 1 1 1 1 1 2 3 3 3 3 3 3 1 3 3 3 3 1 1 2 1 2 1 1 2 1 2 1 2 1 2,p1903_s0001 p1903_s0002 p1903_s0003 p1903_s0004 p1903_s0005 p1903_s0006 p1903_s0007 p1903_s0008 p1903_s0009 p1903_s0010 p1903_s0011 p1903_s0012 p1903_s0013 p1903_s0014 p1903_s0015 p1903_s0016 p1903_s0017 p1903_s0018 p1903_s0019 p1903_s0020 p1903_s0021 p1903_s0022 p1903_s0023 p1903_s0024 p1903_s0025 p1903_s0026 p1903_s0027 p1903_s0028 p1903_s0029 p1903_s0030 p1903_s0031 p1903_s0032 p1903_s0033 p1903_s0034 p1903_s0035 p1903_s0036 p1903_s0037 p1903_s0038 p1903_s0039,False,False,0
p1904,1,0,p1904_s0001,p1904_s0001,0,0,0,p1904_s0001,False,False,0
p1905,1,0,p1905_s0001,p1905_s0001,0,0,0,p1905_s0001,False,False,0
p1906,2,1,p1906_s0001,p1906_s0002,0,1,0 1,p1906_s0001 p1906_s0002,False,False,0
p1907,4,3,p1907_s0001,p1907_s0004,3,3,3 3 1 3,p1907_s0001 p1907_s0002 p1907_s0003 p1907_s0004,False,False,0
p1908,17,16,p1908_s0001,p1908_s0017,0,1,0 2 1 1 2 1 2 2 2 1 2 2 2 2 2 1 1,p1908_s0001 p1908_s0002 p1908_s0003 p1908_s0004 p1908_s0005 p1908_s0006 p1908_s0007 p1908_s0008 p1908_s0009 p1908_s0010 p1908_s0011 p1908_s0012 p1908_s0013 p1908_s0014 p1908_s0015 p1908_s0016 p1908_s0017,False,False,0
p1909,1,0,p1909_s0001,p1909_s0001,4,4,4,p1909_s0001,True,False,0
p191,17,16,p191_s0001,p191_s0017,0,4,0 1 1 1 1 1 1 1 1 4 4 1 2 2 1 2 4,p191_s0001 p191_s0002 p191_s0003 p191_s0004 p191_s0005 p191_s0006 p191_s0007 p191_s0008 p191_s0009 p191_s0010 p191_s0011 p191_s0012 p191_s0013 p191_s0014 p191_s0015 p191_s0016 p191_s0017,True,False,1
